Latitude	Longitude	Place_name
51.518201	-0.169803	Royal Exchange, London, England
51.508834	-0.125093	Strand, London, England
51.51239	-0.09579	Friday-street, London, England
51.507265	-0.127833	St. Katherines Lane near Tower-Hill, London, England
51.51342	-0.0771	St. Botolphs Aldgate, London, England
51.50853	-0.12574	St Giles's, London, England
51.50853	-0.12574	St. Martins in the fields, London, England
51.50853	-0.12574	White-chappel, London, England
51.513717	-0.068538	Goodmans Fields, London, England
51.50853	-0.12574	Armitage-stairs, London, England
51.52332	-0.03888	St. Dunstan's in the East, London, England
51.50853	-0.12574	St. Martins Parish, London, England
51.5	-0.11667	the Crown in the Old Palace-Yard Westminster, London, England
51.50853	-0.12574	Alhollows Barkin, London, England
51.671824	-0.032728	Cornhill, London, England
51.50853	-0.12574	Hornzey, London, England
51.50853	-0.12574	Little St. Bartholomews, London, England
51.422978	-0.160094	Amen Corner, London, England
51.422978	-0.160094	Amen Corner, London, England
51.50853	-0.12574	St. Magnes parish, London, England
51.50853	-0.12574	Fetter-lane, London, England
51.50853	-0.12574	Chelsy, London, England
51.526669	-0.079893	Shoreditch, London, England
51.584501	-0.000809	Woodstreet, London, England
51.51348	-0.112117	Fleet street, London, England
51.50853	-0.12574	Branford, London, England
51.517402	-0.046219	Stepney, London, England
51.51336	-0.08597	St. Michaels Cornhill, London, England
51.497566	-0.183931	Exchange, London, England
51.517402	-0.046219	Stepney, London, England
51.50853	-0.12574	St. Leonard Shorditch, London, England
51.50853	-0.12574	St. Lawrence Jury, London, England
51.50853	-0.12574	St. Dunstans in the West, London, England
51.50853	-0.12574	St. Ann Agnes, London, England
51.50853	-0.12574	St. Andrews Holbourn, London, England
51.50853	-0.12574	St Dunstans in the West, London, England
51.50853	-0.12574	New Fish street, London, England
51.50853	-0.12574	the Roe-Buck in Fleet-street, London, England
51.517402	-0.046219	Stepney, London, England
51.50853	-0.12574	Lombard-street, London, England
51.51718	-0.10695	St. Andrew Holborn, London, England
51.51601	-0.08983	Coleman-street, London, England
51.50853	-0.12574	St. Mary Woolnoth, London, England
51.50853	-0.12574	St. Giles's in the fields, London, England
51.50853	-0.12574	Ax in Alderman-bury, London, England
51.50853	-0.12574	White-Chappel, London, England
51.50853	-0.12574	St. Mary Wool-church, London, England
51.50853	-0.12574	St. Laurence-lane, London, England
51.50853	-0.12574	St. Mildred, London, England
51.50853	-0.12574	St. Sepulchres, London, England
51.5	-0.11667	St. Margarets, Westminster, London, England
51.50853	-0.12574	Wilsdon, London, England
51.51753	-0.12045	St. Andrews Holborn, London, England
51.50853	-0.12574	St. Martins in the Fields, London, England
51.50853	-0.12574	St. Martins in the Fields, London, England
51.50853	-0.12574	St. Martins in the Fields, London, England
51.50853	-0.12574	St. Martins in the Fields, London, England
51.50853	-0.12574	St. Martins in the Fields, London, England
51.50853	-0.12574	St. Edmunds Lumbard street, London, England
51.50853	-0.12574	Lumbard-street, London, England
51.517402	-0.046219	Stepney, London, England
51.50853	-0.12574	St. Martins in the Fields, London, England
51.50853	-0.12574	St. James Midd, London, England
51.50853	-0.12574	St. Dunstans in the West, London, England
51.50853	-0.12574	Hellingdon, London, England
51.50853	-0.12574	Hellingdon, London, England
51.50853	-0.12574	St. Dunstans in the West, London, England
51.50853	-0.12574	St. Dunstans in the West, London, England
51.50853	-0.12574	St. Giles's Cripple-gate, London, England
51.50853	-0.12574	St. Sepulchres, London, England
51.50853	-0.12574	St Martins in the Fields, London, England
51.51753	-0.12045	St. Andrews Holborn, London, England
51.50853	-0.12574	St. Giles's Cripple-Gate, London, England
51.51424	-0.12471	St. Pauls Covent-Garden, London, England
51.51424	-0.12471	St. Pauls Covent-Garden, London, England
51.50853	-0.12574	St. Andrews Holbourn, London, England
51.50853	-0.12574	St. James's Clarkenwell, London, England
51.512961	-0.127523	St. Martins, London, England
51.50853	-0.12574	St. Gregories, London, England
51.50853	-0.12574	St. Pauls Church-Yard, London, England
51.50853	-0.12574	St. Mary Marfellon, London, England
51.50853	-0.12574	St. Bennedict, London, England
51.50853	-0.12574	St. Buttolph, London, England
51.50853	-0.12574	St. Matfellon alias White Chappell, London, England
51.50853	-0.12574	St. Matfellon alias White Chappell, London, England
51.50853	-0.12574	St. Martins in the Field, London, England
51.50853	-0.12574	St. Giles's in the Fields, London, England
51.50853	-0.12574	St. Alhallows Lumbard street, London, England
51.50853	-0.12574	Safforn-Hill, London, England
51.50853	-0.12574	Northern-Falgate, London, England
51.50853	-0.12574	St. Andrew's Holbourn, London, England
51.50853	-0.12574	Red-Lyon Square, London, England
51.50853	-0.12574	St. Anne Agnes, London, England
51.50853	-0.12574	St. Martins in the Fields, London, England
51.50853	-0.12574	St. Michael-Bashaw, London, England
51.50853	-0.12574	St. Andrews Holbourn alias Ward, London, England
51.50853	-0.12574	St. Giles's Cripplegate, London, England
51.50853	-0.12574	St. Giles Cripplegate, London, England
51.499834	-0.126706	St. Margaret Westminster, London, England
51.5	-0.11667	Hill Tavern in Westminster, London, England
51.50853	-0.12574	St. Pancrass in the County of Middlesex, London, England
51.507908	-0.136573	St. James's Westminster, London, England
51.50853	-0.12574	St. Martins in the Fields, London, England
51.483484	-0.348995	Thistleworth, London, England
51.50853	-0.12574	St. Andrews Holbourn, London, England
51.50853	-0.12574	St. Edmunds the King, in the Ward of Longhorne, London, England
51.51342	-0.0771	St. Botolphs Aldgate, London, England
51.50853	-0.12574	Mark-Lane, London, England
51.53333	0.08333	St. Alhollows Barking, London, England
51.483484	-0.348995	Thistleworth, London, England
51.50853	-0.12574	St. Andrews Holbourn, London, England
51.517402	-0.046219	Stepney, London, England
51.50853	-0.12574	St. Dunstans in the West, London, England
51.474422	-0.206077	Fulham, London, England
51.517402	-0.046219	Stepney, London, England
51.587364	-0.120967	Hornsey, London, England
51.50853	-0.12574	St. Matin's in the Fields, London, England
51.50853	-0.12574	St. Nicholas Cole-Abby, London, England
51.51635	-0.08144	St. Botolph Bishopsgate, London, England
51.50853	-0.12574	St. Giles's Church, London, England
51.473755	-0.160224	Thames, London, England
51.50853	-0.12574	St. Andrew's Holbourn, London, England
51.50853	-0.12574	St. Giles's in the Fields, London, England
51.50853	-0.12574	St. Clement's Danes, London, England
